氢 (H₂)|最轻的气体，可燃的清洁能源
六氰合铁(III)酸钾(K₃[Fe(CN)₆])|赤血盐，红色晶体，氧化剂和显影剂
亚铁氰化钠(Na₄[Fe(CN)₆])|黄血盐钠，黄色晶体
铁氰化钠(Na₃[Fe(CN)₆])|赤血盐钠，红色晶体
六氰合钴(III)酸钾(K₃[Co(CN)₆])|黄色晶体
六氰合铬(III)酸钾(K₃[Cr(CN)₆])|黄色晶体
氰化钙(Ca(CN)₂)|黑色或白色固体，剧毒，杀虫剂和杀鼠剂
硫氰酸铵(NH₄SCN)|无色晶体，用于分析化学和纺织印染
硫氰酸钾(KSCN)|无色晶体，分析化学中用于鉴定铁离子
硫氰酸钠(NaSCN)|无色晶体
次氯酸钠(NaClO)|微黄色溶液，84消毒液、漂白水主要成分
次氯酸钙(Ca(ClO)₂)|白色固体，漂白粉主要有效成分
次氯酸钾(KClO)|不稳定，通常以溶液形式存在
次氯酸锂(LiClO)|不稳定
次氯酸镁(Mg(ClO)₂)|不稳定
次氯酸钡(Ba(ClO)₂)|不稳定
次氯酸锶(Sr(ClO)₂)|不稳定
氯酸钠(NaClO₃)|白色固体，强氧化剂，用于制备二氧化氯和除草剂
氯酸钾(KClO₃)|白色固体，强氧化剂，用于火柴、烟花和炸药
氯酸钡(Ba(ClO₃)₂)|白色固体，绿色烟火成分
氯酸镁(Mg(ClO₃)₂)|白色固体，吸湿性强
氯酸锶(Sr(ClO₃)₂)|白色固体，红色烟火成分
氯酸钙(Ca(ClO₃)₂)|白色固体，除草剂
氯酸铁(III)(Fe(ClO₃)₃)|棕色固体，不稳定
氯酸铜(II)(Cu(ClO₃)₂)|绿色固体，不稳定
氯酸银(AgClO₃)|白色固体，微溶于水，见光分解
碘酸钠(NaIO₃)|白色固体，氧化剂，食品添加剂（限量）
碘酸钾(KIO₃)|白色固体，食盐加碘主要形式，氧化剂
碘酸锂(LiIO₃)|无色晶体，非线性光学材料
碘酸银(AgIO₃)|白色固体，难溶于水，用于分析化学
碘酸钡(Ba(IO₃)₂)|白色固体，难溶于水
碘酸钙(Ca(IO₃)₂)|白色固体，难溶于水，营养强化剂
碘酸锶(Sr(IO₃)₂)|白色固体
碘酸镁(Mg(IO₃)₂)|白色固体
碘酸铅(Pb(IO₃)₂)|黄色固体，有毒
碘酸铜(II)(Cu(IO₃)₂)|蓝色固体
碘酸锌(Zn(IO₃)₂)|白色固体
碘酸镉(Cd(IO₃)₂)|白色固体
碘酸铯(CsIO₃)|白色固体
碘酸铷(RbIO₃)|白色固体
碘酸铈(III)(Ce(IO₃)₃)|黄色固体
碘酸铈(IV)(Ce(IO₃)₄)|橙色固体，强氧化剂
碘酸铁(III)(Fe(IO₃)₃)|黄色固体
碘酸钴(II)(Co(IO₃)₂)|粉红色固体
碘酸镍(II)(Ni(IO₃)₂)|绿色固体
碘酸铝(Al(IO₃)₃)|白色固体，易水解
碘酸镓(Ga(IO₃)₃)|白色固体
碘酸铟(In(IO₃)₃)|白色固体
碘酸氢(KH(IO₃)₂)|酸式盐，存在
偏高碘酸(HIO₄)|存在于溶液中
高碘酸钠(NaIO₄)|白色固体，氧化剂
高碘酸钾(KIO₄)|白色固体，氧化剂
高碘酸银(Ag₅IO₆)|棕色固体
高碘酸钡(Ba₅(IO₆)₂)|白色固体
高碘酸钙(Ca₅(IO₆)₂)|白色固体
高碘酸锂(Li₅IO₆)|白色固体
高碘酸锶(Sr₅(IO₆)₂)|白色固体
高锰酸钾(KMnO₄)|紫黑色晶体，强氧化剂，消毒剂和分析试剂
高锰酸钠(NaMnO₄)|紫红色晶体，易潮解，氧化性同高锰酸钾
高锰酸锂(LiMnO₄)|紫黑色晶体，不稳定
高锰酸铷(RbMnO₄)|紫黑色晶体
高锰酸铯(CsMnO₄)|紫黑色晶体
高锰酸银(AgMnO₄)|紫色晶体，见光分解，爆炸性氧化剂
高锰酸钡(Ba(MnO₄)₂)|紫黑色晶体，难溶于水
高锰酸钙(Ca(MnO₄)₂)|紫黑色晶体
高锰酸镁(Mg(MnO₄)₂)|紫红色晶体，易潮解
高锰酸锌(Zn(MnO₄)₂)|紫黑色晶体
高锰酸铜(II)(Cu(MnO₄)₂)|紫黑色晶体
高锰酸铝(Al(MnO₄)₃)|紫红色晶体，易水解
高锰酸铵(NH₄MnO₄)|紫黑色晶体，不稳定，受热易爆
四甲基高锰酸铵((CH₃)₄NMnO₄)|紫黑色固体，有机相氧化剂
硝酸氯(ClONO₂)|大气化学中重要分子，由ClO与NO₂反应生成
磷酸氯(Cl₃PO)|无色液体，强氯化剂和脱水剂
硝硫酸(NO₂HSO₄)|铅室法制硫酸中间体
醋酸锂(LiCH₃COO)|白色固体，易潮解
醋酸钠(NaCH₃COO)|白色固体，常用缓冲剂和调味剂
醋酸钾(KCH₃COO)|白色固体，易潮解，脱水剂
醋酸铍(Be(CH₃COO)₂)|剧毒
醋酸镁(Mg(CH₃COO)₂)|白色固体，催化剂和镁源
醋酸钙(Ca(CH₃COO)₂)|白色固体，豆腐凝固剂和饲料添加剂
醋酸锶(Sr(CH₃COO)₂)|白色固体，红色焰色
醋酸钡(Ba(CH₃COO)₂)|白色固体，有毒
醋酸铝(Al(CH₃COO)₃)|白色固体，易水解，媒染剂和催化剂
醋酸镓(Ga(CH₃COO)₃)|白色固体
醋酸铟(In(CH₃COO)₃)|白色固体
醋酸锡(II)(Sn(CH₃COO)₂)|白色固体，还原剂
醋酸铅(II)(Pb(CH₃COO)₂)|铅糖，白色固体，有毒，曾用作甜味剂
醋酸铜(II)(Cu(CH₃COO)₂)|蓝绿色固体，有机合成催化剂和颜料
醋酸锌(Zn(CH₃COO)₂)|白色固体，木材防腐剂和媒染剂
醋酸镉(Cd(CH₃COO)₂)|白色固体，有毒
醋酸汞(II)(Hg(CH₃COO)₂)|白色固体，剧毒，有机合成试剂
醋酸银(AgCH₃COO)|白色固体，光敏，有机合成试剂
醋酸金(III)(Au(CH₃COO)₃)|黄色固体，不稳定
醋酸钛(IV)(Ti(CH₃COO)₄)|白色固体，易水解
醋酸锆(IV)(Zr(CH₃COO)₄)|白色固体，易水解
醋酸铪(IV)(Hf(CH₃COO)₄)|白色固体，易水解
醋酸钒(III)(V(CH₃COO)₃)|绿色固体
醋酸铬(II)(Cr(CH₃COO)₂)|棕色固体，不稳定
醋酸铬(III)(Cr(CH₃COO)₃)|灰绿色固体
醋酸锰(II)(Mn(CH₃COO)₂)|粉色固体，催化剂和营养补充剂
醋酸铁(II)(Fe(CH₃COO)₂)|不稳定，易氧化
醋酸铁(III)(Fe(CH₃COO)₃)|红棕色固体，媒染剂
醋酸钴(II)(Co(CH₃COO)₂)|粉红色固体，催化剂和干燥剂
醋酸镍(II)(Ni(CH₃COO)₂)|绿色固体，催化剂和电镀
醋酸钌(II/III)(Ru(CH₃COO)ₓ)|催化剂
醋酸铑(II)(Rh₂(CH₃COO)₄)|绿色固体，著名双核配合物，催化剂
醋酸钯(II)(Pd(CH₃COO)₂)|橙色固体，最重要的钯催化剂之一
醋酸铂(II)(Pt(CH₃COO)₂)|不稳定
醋酸铷(RbCH₃COO)|白色固体
醋酸铯(CsCH₃COO)|白色固体
醋酸镧(La(CH₃COO)₃)|白色固体
醋酸铈(III)(Ce(CH₃COO)₃)|白色固体
醋酸镨(Pr(CH₃COO)₃)|绿色固体
醋酸钕(Nd(CH₃COO)₃)|淡紫色固体
醋酸钐(Sm(CH₃COO)₃)|黄色固体
醋酸铕(Eu(CH₃COO)₃)|无色固体
醋酸钆(Gd(CH₃COO)₃)|无色固体
醋酸铽(Tb(CH₃COO)₃)|无色固体
醋酸镝(Dy(CH₃COO)₃)|黄色固体
醋酸钬(Ho(CH₃COO)₃)|黄色固体
醋酸铒(Er(CH₃COO)₃)|粉红色固体
醋酸铥(Tm(CH₃COO)₃)|绿色固体
醋酸镱(Yb(CH₃COO)₃)|无色固体
醋酸镥(Lu(CH₃COO)₃)|无色固体
醋酸铵(NH₄CH₃COO)|白色固体，易潮解，缓冲剂和蛋白质沉淀剂
醋酸羟胺(NH₃OH·CH₃COO)|还原剂
醋酸铀酰(UO₂(CH₃COO)₂·2H₂O)|黄色晶体，核燃料循环研究
氢氧化锂(LiOH)|白色固体，中强碱，用于锂基润滑脂和潜艇CO₂吸收
氢氧化钠(NaOH)|烧碱/火碱，白色固体或片状，最强碱之一，最重要的基础化工原料
氢氧化钾(KOH)|苛性钾，白色固体，强碱，用于制皂和钾盐
氢氧化铷(RbOH)|白色固体，极强的碱，易潮解
氢氧化铯(CsOH)|白色固体，已知最强的碱，极易潮解和反应
氢氧化铍(Be(OH)₂)|白色固体，两性氢氧化物，溶于强碱
氢氧化镁(Mg(OH)₂)|白色固体，难溶于水，中强碱，胃药和阻燃剂
氢氧化钙(Ca(OH)₂)|熟石灰/消石灰，白色固体，微溶于水，廉价碱，用于建筑和污水处理
氢氧化锶(Sr(OH)₂)|白色固体，中强碱，可溶性比钙好
氢氧化钡(Ba(OH)₂)|白色固体，可溶性碱土氢氧化物中最强者，用于定量分析
氢氧化铝(Al(OH)₃)|白色固体，典型两性氢氧化物，胃药和净水剂
氢氧化锌(Zn(OH)₂)|白色固体，两性氢氧化物
氢氧化锡(II)(Sn(OH)₂)|白色固体，两性偏碱
氢氧化铅(II)(Pb(OH)₂)|白色固体，两性偏碱
氢氧化铜(II)(Cu(OH)₂)|蓝色固体，弱碱，加热分解
氢氧化铁(III)(Fe(OH)₃)|红棕色固体，弱碱，不溶于水
氢氧化亚铁(II)(Fe(OH)₂)|白色→绿色→红棕色，不稳定，弱碱
氢氧化钴(II)(Co(OH)₂)|粉红色固体，弱碱
氢氧化镍(II)(Ni(OH)₂)|绿色固体，弱碱，用于镍镉电池
氢氧化银(AgOH)|白色固体，极不稳定，立即分解为氧化银和水
氢氧化锰(II)(Mn(OH)₂)|粉白色固体，弱碱，易氧化
氢氧化铬(III)(Cr(OH)₃)|灰绿色固体，两性氢氧化物
氨水(NH₃·H₂O)|无色液体，弱碱，最重要的挥发性碱，广泛用于工业和清洗
原硅酸(H₄SiO₄)|极不稳定，立即脱水聚合
硅酸钠(Na₂SiO₃)|水玻璃主要成分，无色或灰色粘稠液体，粘合剂、洗涤助剂和防火材料
硅酸钾(K₂SiO₃)|类似硅酸钠，用于特种涂料和焊接电极
硅酸锂(Li₂SiO₃)|白色固体，用于陶瓷和特种涂料
长石(如钾长石KAlSi₃O₈)|地壳中最主要的造岩矿物
云母(如白云母KAl₂(AlSi₃O₁₀)(OH)₂)|层状结构，绝缘材料
沸石(如Na₂Al₂Si₃O₁₀·2H₂O)|多孔结构，分子筛和离子交换剂
高岭石(Al₂Si₂O₅(OH)₄)|粘土主要成分，陶瓷和造纸填料
滑石(Mg₃Si₄O₁₀(OH)₂)|层状结构，润滑剂和化妆品填料
石棉(如温石棉Mg₃Si₂O₅(OH)₄)|纤维状，曾用作防火材料（现已限制）
橄榄石((Mg,Fe)₂SiO₄)|镁铁质矿物
锆石(ZrSiO₄)|耐火材料和宝石
绿柱石(Be₃Al₂Si₆O₁₈)|铍矿石，祖母绿为含铬变种
硅酸钙(CaSiO₃)|白色固体，建筑材料、隔热材料
硅酸镁(MgSiO₃)|白色固体，陶瓷和橡胶填料
硅酸铝(Al₂SiO₅)|红柱石、硅线石等，耐火材料
硅酸锆(ZrSiO₄)|人工合成，陶瓷釉料和耐火材料
硅酸钡(BaSiO₃)|白色固体，电子陶瓷
水合硅酸镁(Mg₃Si₄O₁₀(OH)₂·nH₂O)|人工滑石
硅胶(mSiO₂·nH₂O)|多孔干燥剂和催化剂载体
硅酸铅(PbSiO₃)|光学玻璃和辐射防护材料
联氨/肼(N₂H₄)|无色油状液体，强还原剂，用于火箭推进剂和发泡剂
二氮烯(N₂H₂)|不稳定，有顺反异构
三氮烷(N₃H₅)|链状，不稳定
四氮烷(N₄H₆)|链状，极不稳定
甲烷(CH₄)|天然气主要成分，最简单的烷烃，燃料和化工原料
一氯甲烷(CH₃Cl)|无色气体，有机合成甲基化试剂，曾作制冷剂
二氯甲烷(CH₂Cl₂)|无色液体，常用非极性溶剂，脱漆剂
三氯甲烷(CHCl₃)|氯仿，无色液体，曾作麻醉剂和溶剂，现主要用作中间体
四氯化碳(CCl₄)|无色液体，曾作溶剂和灭火剂，因毒性现用途受限
甲醇(CH₃OH)|木精，无色液体，重要化工原料和溶剂
甲醛(HCHO)|无色刺激性气体，40%水溶液为福尔马林，重要化工原料
甲酸(HCOOH)|蚁酸，无色液体，还原性和腐蚀性
溴甲烷(CH₃Br)|无色气体，熏蒸剂（因破坏臭氧层正被淘汰）
碘甲烷(CH₃I)|无色液体，有机合成甲基化试剂
硝基甲烷(CH₃NO₂)|无色油状液体，溶剂和燃料添加剂
甲胺(CH₃NH₂)|无色气体，有机合成中间体
乙烷(C₂H₆)|天然气组分，燃料和裂解制乙烯原料
一氯乙烷(C₂H₅Cl)|无色气体，局部麻醉剂和乙基化试剂
1,1-二氯乙烷(CH₃CHCl₂)|无色液体，溶剂
1,2-二氯乙烷(ClCH₂CH₂Cl)|无色液体，重要溶剂和制氯乙烯中间体
六氯乙烷(C₂Cl₆)|白色晶体，熏蒸剂和阻燃剂
乙醇(C₂H₅OH)|酒精，无色液体，最重要的醇类溶剂和燃料
乙醛(CH₃CHO)|无色液体，重要化工中间体
乙酸(CH₃COOH)|醋酸，食醋主要成分，重要有机化工原料
溴乙烷(C₂H₅Br)|无色液体，有机合成乙基化试剂
碘乙烷(C₂H₅I)|无色液体，有机合成乙基化试剂
硝基乙烷(C₂H₅NO₂)|无色液体，溶剂和中间体
乙胺(C₂H₅NH₂)|无色液体，有机合成中间体
乙腈(CH₃CN)|无色液体，常用极性非质子溶剂
丙烷(C₃H₈)|液化石油气(LPG)主要成分，燃料和溶剂
1-氯丙烷(CH₃CH₂CH₂Cl)|无色液体，有机合成中间体
2-氯丙烷((CH₃)₂CHCl)|无色液体，有机合成中间体
1,2-二氯丙烷(ClCH₂CHClCH₃)|无色液体，溶剂
1-丙醇/正丙醇(CH₃CH₂CH₂OH)|无色液体，溶剂和中间体
2-丙醇/异丙醇((CH₃)₂CHOH)|无色液体，消毒酒精和溶剂
丙醛(CH₃CH₂CHO)|无色液体，中间体
丙酸(CH₃CH₂COOH)|无色液体，食品防腐剂
1-硝基丙烷(CH₃CH₂CH₂NO₂)|无色液体，溶剂
丙胺(CH₃CH₂CH₂NH₂)|无色液体，中间体
丙烯腈(CH₂=CHCN)|无色液体，合成纤维（腈纶）和树脂单体
正丁烷(CH₃CH₂CH₂CH₃)|液化石油气成分，燃料和发泡剂
异丁烷((CH₃)₃CH)|液化石油气成分，制冷剂和燃料
1-氯丁烷(CH₃(CH₂)₂CH₂Cl)|无色液体，中间体
2-氯丁烷(CH₃CH₂CHClCH₃)|无色液体，中间体
1-丁醇/正丁醇(CH₃(CH₂)₂CH₂OH)|无色液体，溶剂和化工原料
2-丁醇/仲丁醇(CH₃CH₂CH(OH)CH₃)|无色液体，溶剂
异丁醇((CH₃)₂CHCH₂OH)|无色液体，溶剂
叔丁醇((CH₃)₃COH)|白色固体（室温），烷基化试剂和溶剂
丁醛(CH₃(CH₂)₂CHO)|无色液体，中间体
丁酸(CH₃(CH₂)₂COOH)|无色液体，黄油酸败气味来源
硝基丁烷(如CH₃(CH₂)₂CH₂NO₂)|溶剂
丁胺(如CH₃(CH₂)₂CH₂NH₂)|无色液体，中间体
正戊烷(C₅H₁₂)|汽油组分，低沸点溶剂
正己烷(C₆H₁₄)|汽油组分，常用非极性溶剂（有神经毒性）
正庚烷(C₇H₁₆)|汽油组分，辛烷值0的标准物
正辛烷(C₈H₁₈)|汽油组分，辛烷值100的标准物
正壬烷(C₉H₂₀)|溶剂
正癸烷(C₁₀H₂₂)|溶剂和燃料
正十二烷(C₁₂H₂₆)|柴油和煤油组分，液体标准物
正十六烷(C₁₆H₃₄)|柴油组分，十六烷值100的标准物
正二十烷(C₂₀H₄₂)|固体烷烃，蜡的成分
环丙烷(C₃H₆)|三元环，无色气体，曾作麻醉剂
环丁烷(C₄H₈)|四元环，无色气体
环戊烷(C₅H₁₀)|五元环，无色液体，溶剂
环己烷(C₆H₁₂)|六元环，无色液体，重要溶剂和尼龙原料
甲基环己烷(C₇H₁₄)|无色液体，溶剂
氯代环己烷(C₆H₁₁Cl)|无色液体，中间体
环己醇(C₆H₁₁OH)|无色晶体或液体，尼龙中间体
环己酮(C₆H₁₀O)|无色液体，尼龙和溶剂
乙烯(CH₂=CH₂)|最重要的石化基础原料，用于制聚乙烯、环氧乙烷等
氯乙烯(CH₂=CHCl)|无色气体，聚氯乙烯(PVC)的单体
1,1-二氯乙烯(CH₂=CCl₂)|无色气体，聚偏二氯乙烯(PVDC)单体
1,2-二氯乙烯(ClCH=CHCl)|有顺反异构体，溶剂
三氯乙烯(ClCH=CCl₂)|无色液体，曾是重要金属脱脂剂（因毒性受限）
四氯乙烯(Cl₂C=CCl₂)|无色液体，干洗剂
溴乙烯(CH₂=CHBr)|无色气体，阻燃剂中间体
碘乙烯(CH₂=CHI)|不稳定液体
乙烯醇(CH₂=CHOH)|极不稳定，以乙醛形式存在
环氧乙烷(CH₂-O-CH₂)|无色气体，重要中间体，制乙二醇和表面活性剂
乙醛(CH₃CHO)|可由乙烯氧化制得，重要中间体
醋酸乙烯酯(CH₂=CHOOCCH₃)|无色液体，合成维尼纶和PVA的单体
丙烯(CH₂=CHCH₃)|重要石化原料，用于制聚丙烯、丙烯腈等
1-氯丙烯(CH₂=CHCH₂Cl)|无色液体，中间体
2-氯丙烯(CH₃CCl=CH₂)|无色液体，中间体
3-氯丙烯(烯丙基氯，CH₂=CHCH₂Cl)|最重要的氯丙烯，制环氧氯丙烷和甘油的原料
1,2-二氯丙烯(ClCH=CHCH₂Cl)|溶剂
1,3-二氯丙烯(ClCH₂CH=CHCl)|土壤熏蒸剂
溴丙烯(如烯丙基溴，CH₂=CHCH₂Br)|有机合成中间体
丙烯醇(烯丙醇，CH₂=CHCH₂OH)|无色液体，中间体
环氧丙烷(CH₃CH-CH₂O)|无色液体，制聚醚多元醇和丙二醇
丙烯醛(CH₂=CHCHO)|无色液体，刺激性，化工中间体
丙烯酸(CH₂=CHCOOH)|无色液体，聚丙烯酸酯的单体
丙烯腈(CH₂=CHCN)|无色液体，合成纤维（腈纶）和ABS树脂单体
1-丁烯(CH₂=CHCH₂CH₃)|无色气体，共聚单体和化工原料
顺-2-丁烯((Z)-CH₃CH=CHCH₃)|无色气体
反-2-丁烯((E)-CH₃CH=CHCH₃)|无色气体
异丁烯((CH₃)₂C=CH₂)|无色气体，制丁基橡胶和MTBE的原料
1,3-丁二烯(CH₂=CH-CH=CH₂)|无色气体，合成橡胶（如顺丁橡胶、丁苯橡胶）的核心单体
氯丁二烯(CH₂=CCl-CH=CH₂)|无色液体，氯丁橡胶单体
1-氯-2-丁烯(ClCH=CHCH₂CH₃)|中间体
甲基丙烯酸甲酯(CH₂=C(CH₃)COOCH₃)|无色液体，有机玻璃(PMMA)单体
巴豆醛(反-2-丁烯醛，CH₃CH=CHCHO)|无色液体，刺激性气味
1-戊烯(CH₂=CH(CH₂)₂CH₃)|无色液体
环戊烯(C₅H₈)|无色液体，中间体
1-己烯(CH₂=CH(CH₂)₃CH₃)|无色液体，聚乙烯共聚单体
环己烯(C₆H₁₀)|无色液体，溶剂和中间体
1-辛烯(CH₂=CH(CH₂)₅CH₃)|无色液体，聚乙烯共聚单体和增塑剂醇原料
α-烯烃(CₙH₂ₙ， n>6)|线性末端烯烃，用于合成洗涤剂和润滑油
异戊二烯(2-甲基-1,3-丁二烯，CH₂=C(CH₃)-CH=CH₂)|无色液体，天然橡胶和合成异戊橡胶的单体
丙二烯(CH₂=C=CH₂)|无色气体，最简单的累积二烯烃
1,2-丁二烯(CH₂=C=CHCH₃)|累积二烯烃
1,4-戊二烯(CH₂=CH-CH₂-CH=CH₂)|非共轭二烯烃，用于乙丙橡胶第三单体
环辛四烯(C₈H₈)|金黄色液体，桶状结构
苯乙烯(C₆H₅CH=CH₂)|无色液体，聚苯乙烯和ABS树脂的单体
二乙烯苯(主要是间位，C₆H₄(CH=CH₂)₂)|无色液体，交联剂，用于离子交换树脂
醋酸乙烯酯(已列于乙烯系列)|重要单体
甲基丙烯酸(酯)衍生物(如MAA, MMA)|有机玻璃和涂料单体
乙炔(HC≡CH)|无色气体，最简单的炔烃，氧炔焰焊接和有机合成基础原料
氯乙炔(HC≡CCl)|无色气体，极不稳定，易爆炸
溴乙炔(HC≡CBr)|无色气体，不稳定
碘乙炔(HC≡CI)|不稳定
乙烯基乙炔(CH₂=CH-C≡CH)|无色气体，合成氯丁橡胶的关键中间体
丙炔/甲基乙炔(CH₃-C≡CH)|无色气体，燃料和化工中间体
1-氯丙炔(HC≡C-CH₂Cl)|不稳定
3-氯丙炔(ClCH₂-C≡CH)|不稳定，高活性
丙炔醇(HC≡C-CH₂OH)|无色液体，重要中间体，用于维生素合成
1-丁炔(HC≡C-CH₂-CH₃)|无色气体
2-丁炔(CH₃-C≡C-CH₃)|无色液体，最简单的对称内炔
1,3-丁二炔(HC≡C-C≡CH)|乙烯基乙炔异构体，不稳定
11-氯-1-丁炔(ClHC=CH-C≡CH)|研究级化合物
1-戊炔(HC≡C-(CH₂)₂-CH₃)|无色液体
2-戊炔(CH₃-C≡C-CH₂-CH₃)|无色液体
1-己炔(HC≡C-(CH₂)₃-CH₃)|无色液体
3-己炔(CH₃CH₂-C≡C-CH₂CH₃)|无色液体
1-辛炔(HC≡C-(CH₂)₅-CH₃)|无色液体
苯乙炔(C₆H₅-C≡CH)|无色液体，重要有机合成中间体
二苯乙炔(C₆H₅-C≡C-C₆H₅)|白色固体，荧光材料
乙炔二羧酸(HOOC-C≡C-COOH)|白色固体，不饱和二元酸
丙炔酸(HC≡C-COOH)|无色液体，腐蚀性，有机合成中间体
甲基丙烯酸(酯)衍生物(可由炔烃路线制备)|已列于烯烃，重要聚合物单体
炔丙基溴(HC≡C-CH₂Br)|无色至浅黄色液体，重要的有机合成试剂
炔丙醇(HC≡C-CH₂OH)|见丙炔系列，关键中间体
炔丙胺(HC≡C-CH₂NH₂)|无色液体，中间体
苯(C₆H₆)|无色液体，芳香性母体，重要基础化工原料
甲苯(C₆H₅CH₃)|无色液体，溶剂和化工原料（制苯、二甲苯等）
乙苯(C₆H₅CH₂CH₃)|无色液体，主要用来生产苯乙烯
邻二甲苯(1,2-C₆H₄(CH₃)₂)|无色液体，溶剂和化工原料
间二甲苯(1,3-C₆H₄(CH₃)₂)|无色液体，主要用来生产间苯二甲酸(IPA)
对二甲苯(1,4-C₆H₄(CH₃)₂)|无色晶体，生产对苯二甲酸(PTA)以制涤纶
异丙苯(枯烯，C₆H₅CH(CH₃)₂)|无色液体，生产苯酚和丙酮的中间体
三甲苯(均三甲苯1,3,5-C₆H₃(CH₃)₃等)|无色液体，溶剂
连三甲苯(1,2,3-C₆H₃(CH₃)₃)|无色液体
偏三甲苯(1,2,4-C₆H₃(CH₃)₃)|无色液体，制偏苯三酸酐
萘(C₁₀H₈)|白色片状晶体，卫生球原料，制染料和增塑剂
蒽(C₁₄H₁₀)|无色晶体，荧光，制蒽醌染料
菲(C₁₄H₁₀)|蒽的异构体，无色晶体，生物合成胆固醇的骨架
芘(C₁₆H₁₀)|无色晶体，存在于煤焦油
䓛/苯并[a]蒽(C₁₈H₁₂)|黄色片状，第一个有明确致癌性的PAH
苯并[a]芘(C₂₀H₁₂)|强致癌物，烧烤和香烟烟雾中常见
苯并[e]芘(C₂₀H₁₂)|苯并[a]芘的异构体，致癌性较弱
荧蒽(C₁₆H₁₀)|无色或黄绿色荧光晶体
苝(C₂₀H₁₂)|深红色晶体，有机颜料
晕苯/六苯并苯(C₂₄H₁₂)|碗状分子，研究星际物质模型
苊(C₁₂H₁₀)|无色晶体，制萘酐
芴(C₁₃H₁₀)|白色片状晶体，制药物和染料
联苯(C₁₂H₁₀)|无色晶体，热载体和染料中间体
三联苯(C₁₈H₁₄)|无色晶体，液晶材料
对三联苯(C₁₈H₁₄)|三联苯异构体
环戊二烯负离子(C₅H₅⁻)|符合4n+2规则，存在于茂金属中
环庚三烯正离子(䓬离子，C₇H₇⁺)|符合4n+2规则
轮烯(如[18]轮烯)|大环共轭体系，具有芳香性
甘氨酸(Gly, G)|侧链为H，最小氨基酸，赋予蛋白质构象灵活性
丙氨酸(Ala, A)|侧链为甲基，疏水性，含量丰富
缬氨酸(Val, V)|带有支链，疏水
亮氨酸(Leu, L)|带有支链，疏水，常见于蛋白质核心
异亮氨酸(Ile, I)|带有支链，疏水，有手性中心
脯氨酸(Pro, P)|环状结构，使蛋白质骨架转折
甲硫氨酸(Met, M)|含硫，疏水，蛋白质合成起始氨基酸
苯丙氨酸(Phe, F)|含苯环，强疏水
酪氨酸(Tyr, Y)|含酚羟基，弱亲水，可磷酸化
色氨酸(Trp, W)|含吲哚环，最大最复杂，吸收紫外线
丝氨酸(Ser, S)|含羟基，亲水，可磷酸化和糖基化
苏氨酸(Thr, T)|含羟基，亲水，可磷酸化和糖基化
半胱氨酸(Cys, C)|含巯基(-SH)，可形成二硫键稳定结构
天冬酰胺(Asn, N)|含酰胺基，亲水
谷氨酰胺(Gln, Q)|含酰胺基，亲水
赖氨酸(Lys, K)|侧链带ε-氨基，正电荷，常参与酶活性中心
精氨酸(Arg, R)|侧链带胍基，强正电荷
组氨酸(His, H)|侧链含咪唑环，pKa接近生理pH，是重要的质子 shuttle
天冬氨酸(Asp, D)|侧链含β-羧基，负电荷
谷氨酸(Glu, E)|侧链含γ-羧基，负电荷
牛磺酸|结合胆汁酸，参与神经调节
鸟氨酸|尿素循环中间体
瓜氨酸|尿素循环中间体
硒代半胱氨酸(Sec)|第21种蛋白质氨基酸，含硒，存在于特定酶中
吡咯赖氨酸(Pyl)|第22种蛋白质氨基酸，存在于某些古菌中
甘油醛(C₃H₆O₃)|最简单的醛糖，有D和L两种对映异构体，生化代谢中间体
二羟丙酮(C₃H₆O₃)|最简单的酮糖，生化代谢中间体
赤藓糖(C₄H₈O₄)|醛糖，生化途径中间体
赤藓酮糖(C₄H₈O₄)|酮糖
核糖(C₅H₁₀O₅)|醛糖，RNA和ATP等辅酶的组成部分
脱氧核糖(C₅H₁₀O₄)|DNA的糖组分，2号碳脱氧
核酮糖(C₅H₁₀O₅)|酮糖，卡尔文循环中间体
木糖(C₅H₁₀O₅)|醛糖，植物细胞壁半纤维素成分
阿拉伯糖(C₅H₁₀O₅)|醛糖，植物胶和细胞壁成分
来苏糖(C₅H₁₀O₅)|醛糖
葡萄糖(C₆H₁₂O₆)|醛糖，生物体最主要的能源物质，淀粉、糖原和纤维素的基本单元
果糖(C₆H₁₂O₆)|酮糖，最甜的糖之一，存在于水果和蜂蜜中
半乳糖(C₆H₁₂O₆)|醛糖，乳糖和脑苷脂的组成成分，与葡萄糖为C4差向异构体
甘露糖(C₆H₁₂O₆)|醛糖，糖蛋白和植物多糖（如象牙果甘露聚糖）成分，与葡萄糖为C2差向异构体
山梨糖(C₆H₁₂O₆)|酮糖，工业合成维生素C的中间体
塔格糖(C₆H₁₂O₆)|酮糖，低热量甜味剂
阿洛糖(C₆H₁₂O₆)|醛糖，稀有糖
阿卓糖(C₆H₁₂O₆)|醛糖，稀有糖
古洛糖(C₆H₁₂O₆)|醛糖，稀有糖
艾杜糖(C₆H₁₂O₆)|醛糖，艾杜糖醛酸是糖胺聚糖（如硫酸皮肤素）成分
景天庚酮糖(C₇H₁₄O₇)|酮糖，光合作用卡尔文循环和戊糖磷酸途径的中间体
甘露庚酮糖(C₇H₁₄O₇)|酮糖，存在于鳄梨中
